,0
1950,8
730,8
1206,8
1839,8
998,8
1030,8
1029,8
619,8
754,8
1968,8
1174,8
765,8
1181,8
1801,8
1281,8
1927,8
75,8
1076,8
701,8
2019,8
1774,8
550,8
539,8
1909,8
1907,8
663,8
160,8
1623,7
1918,7
1877,7
409,7
2022,7
1497,7
60,7
296,7
1681,7
1923,7
1901,7
1012,7
612,7
1584,7
1653,7
85,7
634,7
1465,7
412,7
1488,7
2012,7
640,7
1883,7
1503,7
302,7
1668,7
1467,7
645,7
818,7
1094,7
651,7
812,7
1884,7
2028,7
113,7
966,7
576,7
488,7
1244,7
607,7
570,7
1809,7
1371,7
768,7
1275,7
1794,7
967,7
853,7
141,7
536,7
226,7
965,7
872,7
1327,7
351,7
869,7
210,7
1571,7
1333,7
189,7
578,7
1248,7
1229,7
1830,7
1413,7
1412,7
1067,7
897,7
1407,7
1197,7
1404,7
1399,7
138,7
53,7
1556,7
1393,7
135,7
39,7
1389,7
478,7
1068,7
1217,7
720,6
800,6
365,6
1989,6
1993,6
1502,6
964,6
1601,6
1020,6
316,6
1489,6
704,6
1941,6
379,6
1526,6
56,6
303,6
1048,6
1338,6
1635,6
1261,6
457,6
111,6
1861,6
1848,6
470,6
1845,6
1403,6
245,6
1397,6
481,6
1388,6
152,6
1166,6
559,6
240,6
1268,6
1276,6
846,6
1361,6
1282,6
1298,6
6,6
1329,6
519,6
1871,6
2026,6
690,6
628,6
1547,6
93,6
1469,6
1642,6
1461,6
416,6
662,6
1897,6
861,6
198,6
916,6
1115,6
1118,6
101,6
1133,6
24,6
643,6
1882,6
1675,6
1433,6
1676,6
2024,6
26,6
2010,5
17,5
280,5
1960,5
1851,5
1756,5
1739,5
1757,5
187,5
1762,5
1719,5
164,5
1805,5
1835,5
1838,5
246,5
1869,5
1957,5
1874,5
109,5
1888,5
1893,5
292,5
1916,5
70,5
1935,5
1629,5
1938,5
1622,5
862,5
420,5
1498,5
1124,5
1111,5
374,5
1521,5
582,5
579,5
1319,5
1515,5
1216,5
1514,5
669,5
808,5
1381,5
493,5
1173,5
618,5
397,5
1346,5
1044,5
516,5
1358,5
774,5
509,5
513,5
1479,5
1054,5
1462,5
788,5
1241,5
433,5
648,5
642,5
1259,5
1153,5
1006,5
558,5
858,5
746,5
1200,5
459,5
354,5
637,5
460,5
1555,5
1193,5
447,5
1306,5
903,5
1305,5
1185,5
569,5
359,5
1280,5
1135,5
1396,4
740,4
1870,4
510,4
716,4
1711,4
243,4
1692,4
477,4
462,4
137,4
1952,4
1694,4
1196,4
1392,4
1042,4
729,4
234,4
602,4
698,4
